     Datum;      5 aus 50;   EZ;  Spieleinsatz; Anz. Kl. 1;   Quote Kl. 1; Anz. Kl. 2;   Quote Kl. 2; Anz. Kl. 3;   Quote Kl. 3; Anz. Kl. 4;   Quote Kl. 4; Anz. Kl. 5;   Quote Kl. 5; Anz. Kl. 6;   Quote Kl. 6; Anz. Kl. 7;   Quote Kl. 7; Anz. Kl. 8;   Quote Kl. 8; Anz. Kl. 9;   Quote Kl. 9;Anz. Kl. 10;  Quote Kl. 10;Anz. Kl. 11;  Quote Kl. 11;Anz. Kl. 12;  Quote Kl. 12
05.01.2018;40; 2;38;45; 7;10; 7; 42.621.542,00;         --;            --;          4;    452.853,80;          8;     79.915,30;         32;      6.659,60;        662;        289,70;      1.186;        125,70;      1.578;         81,00;     23.850;         27,60;     30.358;         21,00;     54.020;         16,90;    128.698;         12,90;    472.493;          8,60
12.01.2018;25;17;16;40;44; 9; 2; 49.010.994,00;         --;            --;          1;  2.082.967,20;          7;    105.023,50;         44;      5.569,40;        838;        263,10;      1.811;         94,70;      2.410;         61,00;     38.213;         19,90;     36.706;         19,90;     70.808;         14,80;    205.938;          9,20;    557.705;          8,30
19.01.2018;47;45; 3; 9;17; 4; 9; 56.102.658,00;         --;            --;          5;    476.872,50;          3;    280.513,20;         74;      3.790,70;      1.090;        231,60;      1.919;        102,30;      3.113;         54,00;     43.059;         20,10;     48.899;         17,20;     86.782;         13,80;    219.136;          9,90;    687.775;          7,70
26.01.2018;23;29;10;26;35; 5; 3; 71.304.514,00;         --;            --;          2;  1.515.220,90;          6;    178.261,20;        124;      2.875,10;      1.522;        210,80;      2.261;        110,30;      4.706;         45,40;     66.728;         16,50;     66.577;         16,00;    100.814;         15,20;    338.459;          8,20;    931.749;          7,30
02.02.2018;15;29;41;24;33; 7; 8; 94.676.370,00;         --;            --;          7;  2.921.419,30;          6;    236.690,90;        102;      4.640,90;      1.799;        236,80;      2.917;        113,50;      4.165;         68,10;     62.245;         23,50;     82.832;         17,10;    129.148;         15,70;    330.727;         11,10;  1.186.544;          7,60
09.02.2018;46; 8;24;34; 7; 8; 4;100.772.336,00;          1; 90.000.000,00;          8;  3.520.586,10;          9;    167.953,80;        150;      3.359,00;      1.678;        270,20;      2.747;        128,30;      6.234;         48,40;     98.760;         16,70;     85.007;         16,70;    138.572;         15,60;    496.340;          7,90;  1.272.441;          7,50
16.02.2018; 4;19;25; 8;44;10; 9; 37.994.014,00;         --;            --;          1;  1.614.745,60;          7;     81.415,70;         42;      4.523,00;        791;        216,10;      1.807;         76,00;      1.440;         76,00;     19.578;         30,00;     31.177;         18,20;     73.274;         12,90;    104.249;         12,90;    417.353;          8,60
23.02.2018;26;46;18;42;33;10; 4; 38.568.958,00;         --;            --;          3;    546.393,50;          4;    144.633,50;         32;      6.026,30;        812;        213,70;      1.579;         85,40;      1.478;         78,20;     21.106;         28,30;     29.958;         19,30;     59.733;         13,80;    111.170;         13,50;    410.517;          8,90
02.03.2018;27;16;20;46;18; 3; 5; 41.480.060,00;         --;            --;          4;    440.725,60;          4;    155.550,20;         61;      3.400,00;        707;        264,00;      1.113;        130,40;      2.712;         45,80;     36.448;         17,60;     35.950;         17,30;     57.170;         15,50;    194.201;          8,30;    526.600;          7,50
09.03.2018;23;28;15;33;36; 7; 4; 44.874.446,00;          1; 42.670.719,30;          6;    317.860,60;          6;    112.186,10;        150;      1.495,80;      1.311;        154,00;      1.898;         82,70;      4.101;         32,80;     51.537;         14,30;     44.044;         14,30;     69.914;         13,70;    252.600;          7,20;    580.152;          7,20
