Date,Draw,"Winning Numbers"
"January 24, 2023",2106842,"69 68 24 15 48 02 70 27 51 61 17 36 12 79 60 22 19 77 80 58 04"
"January 24, 2023",2106841,"42 58 09 32 38 08 13 68 72 70 06 43 39 26 07 62 60 75 66 57 02"
"January 24, 2023",2106840,"72 46 55 27 09 57 48 44 73 20 53 74 23 39 11 12 21 18 38 62 01"
"January 24, 2023",2106839,"52 11 12 79 71 69 19 73 74 34 03 54 08 49 14 06 04 67 43 57 02"
"January 24, 2023",2106838,"03 04 58 61 71 25 51 55 27 65 29 23 10 38 63 45 32 44 46 05 01"
"January 24, 2023",2106837,"18 38 31 42 44 46 02 60 34 65 72 37 36 51 39 50 69 70 55 59 01"
"January 24, 2023",2106836,"57 34 08 67 33 58 11 78 15 38 42 36 55 26 59 76 30 70 60 53 02"
"January 24, 2023",2106835,"72 05 30 20 61 75 21 07 68 51 77 02 56 28 63 31 25 24 80 01 02"
"January 24, 2023",2106834,"37 29 21 75 32 04 27 46 52 44 62 35 51 07 01 42 70 14 10 41 01"
"January 24, 2023",2106833,"60 31 34 54 79 04 14 38 27 21 26 13 07 59 15 33 61 41 71 30 02"
"January 24, 2023",2106832,"37 27 57 40 13 71 72 33 62 07 56 31 26 06 49 68 44 39 47 15 01"
"January 24, 2023",2106831,"20 41 57 26 15 40 17 21 05 62 37 19 51 66 27 10 29 49 56 77 01"
"January 24, 2023",2106830,"31 43 26 40 25 72 55 36 66 35 63 47 45 09 39 68 61 33 04 76 01"
"January 24, 2023",2106829,"49 15 65 06 23 69 19 55 42 70 10 67 09 01 53 73 16 78 18 39 02"
"January 24, 2023",2106828,"69 03 59 55 75 01 20 24 05 64 07 38 61 68 12 26 33 10 62 79 02"
"January 24, 2023",2106827,"45 61 24 10 05 04 76 79 17 66 16 38 68 78 21 01 19 77 60 32 02"
"January 24, 2023",2106826,"77 35 11 24 25 54 76 70 21 41 22 15 17 30 39 37 06 57 44 29 02"
"January 24, 2023",2106825,"73 20 32 15 74 31 55 68 59 14 02 65 78 06 11 39 07 56 21 41 01"
"January 24, 2023",2106824,"66 33 27 73 46 54 45 59 62 70 60 11 14 06 56 13 71 04 74 65 02"
"January 24, 2023",2106823,"24 43 69 28 35 72 70 64 09 54 40 11 01 39 08 38 78 44 65 67 01"
"January 24, 2023",2106822,"52 23 07 58 56 65 39 12 37 46 18 40 19 13 78 80 16 70 61 41 02"
"January 24, 2023",2106821,"17 16 23 19 65 73 15 10 14 39 41 66 04 63 74 48 26 67 62 61 02"
"January 24, 2023",2106820,"35 01 71 80 10 33 22 69 20 27 72 57 66 65 17 60 64 40 39 56 02"
"January 24, 2023",2106819,"20 71 15 32 51 25 03 05 52 34 22 45 49 57 17 07 28 50 42 10 02"
"January 24, 2023",2106818,"35 79 23 31 78 64 52 37 54 39 77 46 10 58 38 34 43 68 44 02 01"
"January 24, 2023",2106817,"50 44 69 22 10 07 40 01 02 06 05 23 54 21 77 18 17 35 57 27 02"
"January 24, 2023",2106816,"42 11 61 17 30 70 49 25 34 16 63 43 28 62 19 68 03 48 52 05 02"
