Draw Date,Draw Number,Draw Time,Winning Numbers,Extra
01/22/2023,2542653,00:12,05 12 15 16 23 25 30 39 46 49 52 57 61 64 65 71 74 76 78 79,01
01/22/2023,2542654,00:16,06 09 10 12 18 22 26 31 36 38 44 45 48 49 50 56 59 64 67 70,02
01/22/2023,2542655,00:20,05 06 20 22 25 31 32 34 38 40 42 44 46 57 60 62 67 74 75 79,04
01/22/2023,2542656,00:24,10 19 22 24 31 32 34 37 38 44 45 46 55 58 59 60 67 71 74 75,02
01/22/2023,2542657,00:28,01 10 11 19 20 23 25 26 29 30 33 36 42 45 46 50 52 63 72 79,02
01/22/2023,2542658,00:32,01 09 11 17 21 25 31 34 36 37 38 42 51 52 63 68 70 72 76 79,02
01/22/2023,2542659,00:36,01 04 05 09 17 20 23 27 30 35 39 45 48 49 55 57 63 64 69 74,02
01/22/2023,2542660,00:40,02 05 08 15 18 20 25 26 30 43 45 47 48 64 65 66 67 76 78 80,01
01/22/2023,2542661,00:44,08 10 12 13 22 37 43 44 49 50 51 53 54 57 58 63 66 72 76 79,04
01/22/2023,2542662,00:48,05 12 14 19 21 27 32 33 35 36 39 43 44 55 56 63 68 70 71 78,02
01/22/2023,2542663,00:52,02 03 06 09 13 20 24 30 33 37 38 40 42 47 49 56 62 65 69 70,02
01/22/2023,2542664,00:56,05 06 13 15 19 21 25 26 33 37 39 42 45 49 57 64 71 72 75 77,01
01/22/2023,2542665,01:00,01 02 04 15 18 22 24 27 28 30 40 46 54 55 58 62 65 74 75 79,01
01/22/2023,2542666,01:04,06 14 15 22 27 32 35 36 39 42 43 47 50 51 52 64 65 75 77 78,02
01/22/2023,2542667,01:08,03 04 05 06 10 15 16 27 48 52 53 58 60 62 65 70 71 72 73 77,02
01/22/2023,2542668,01:12,01 02 03 05 18 19 21 27 28 42 44 45 51 52 54 55 59 61 65 66,02
01/22/2023,2542669,01:16,02 07 18 22 24 32 34 40 43 48 53 56 59 60 65 66 69 70 71 79,01
01/22/2023,2542670,01:20,03 04 05 15 16 18 26 30 36 38 41 44 51 58 66 69 71 73 74 75,04
01/22/2023,2542671,01:24,02 06 11 12 17 24 26 30 35 38 39 44 48 56 63 65 67 71 74 76,01
01/22/2023,2542672,01:28,02 03 07 11 14 17 22 26 34 35 36 38 40 42 43 56 62 69 76 77,02
01/22/2023,2542673,01:32,07 09 10 12 13 15 22 23 38 39 40 47 51 53 56 58 69 73 77 80,01
01/22/2023,2542674,01:36,01 13 18 19 29 32 33 34 35 40 43 45 57 59 60 61 65 75 76 80,02
