GAME,DATE,TIME,DRAW NUMBER,NUMBERS,PLUS
"KENO 603","03/01/2022","08:00 PM","251388","04-12-15-18-24-26-36-41-45-47-49-50-51-52-53-60-63-75-77-79","1",
"KENO 603","03/01/2022","07:55 PM","251387","04-07-12-17-24-26-27-29-35-37-46-48-52-57-58-60-61-63-69-70","3",
"KENO 603","03/01/2022","07:50 PM","251386","03-05-08-12-15-22-23-24-26-27-30-34-37-50-53-60-62-74-78-80","1",
"KENO 603","03/01/2022","07:45 PM","251385","03-04-06-08-11-15-19-23-25-26-28-31-36-41-44-46-51-55-74-75","1",
"KENO 603","03/01/2022","07:40 PM","251384","05-21-22-23-28-29-32-37-39-42-48-52-61-66-67-69-71-72-74-78","1",
"KENO 603","03/01/2022","07:35 PM","251383","01-08-12-14-17-24-29-43-45-46-48-50-52-57-59-62-63-69-79-80","1",
"KENO 603","03/01/2022","07:30 PM","251382","03-07-11-14-21-27-29-32-43-47-54-58-61-62-63-67-69-72-74-77","3",
"KENO 603","03/01/2022","07:25 PM","251381","03-04-09-16-18-21-25-30-31-35-37-41-46-48-57-60-65-66-72-78","1",
"KENO 603","03/01/2022","07:20 PM","251380","01-03-05-07-09-19-21-24-27-30-34-35-45-47-48-49-50-61-72-79","1",
"KENO 603","03/01/2022","07:15 PM","251379","01-02-08-18-19-21-22-23-24-26-27-32-42-48-54-65-66-67-74-78","4",
"KENO 603","03/01/2022","07:10 PM","251378","03-10-14-16-21-25-33-39-40-42-48-52-61-63-65-68-72-75-76-77","1",
"KENO 603","03/01/2022","07:05 PM","251377","01-10-11-20-22-24-25-30-35-36-41-42-43-60-61-68-72-76-78-79","1",
"KENO 603","03/01/2022","07:00 PM","251376","07-08-18-30-33-40-43-45-47-54-55-57-60-61-65-68-73-74-76-78","1",
"KENO 603","03/01/2022","06:55 PM","251375","05-11-13-21-30-32-33-34-35-39-41-47-48-51-56-67-70-71-76-80","3",
"KENO 603","03/01/2022","06:50 PM","251374","07-14-18-20-21-27-32-37-38-41-49-52-55-56-57-58-62-68-73-78","3",
"KENO 603","03/01/2022","06:45 PM","251373","06-08-12-18-19-23-26-28-31-34-40-41-45-46-47-56-58-66-73-76","1",
